Model,MSO68B
Channel,CH4
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,7287.66406250
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-4.180000

Labels,
TIME,CH4
-1.12586625e-06,-8.71875000e-02
-1.12570625e-06,-1.27031250e-01
-1.12554625e-06,-1.68281250e-01
-1.12538625e-06,-1.36406250e-01
-1.12522625e-06,-9.56250000e-02
-1.12506625e-06,-8.76562500e-02
-1.12490625e-06,-1.08750000e-01
-1.12474625e-06,-1.33125000e-01
-1.12458625e-06,-1.29843750e-01
-1.12442625e-06,-1.49062500e-01
-1.12426625e-06,-2.16562500e-01
-1.12410625e-06,-2.30625000e-01
-1.12394625e-06,-1.77656250e-01
-1.12378625e-06,-1.76250000e-01
-1.12362625e-06,-2.03906250e-01
-1.12346625e-06,-1.57968750e-01
-1.12330625e-06,-9.89062500e-02
-1.12314625e-06,-1.22812500e-01
-1.12298625e-06,-1.77187500e-01
-1.12282625e-06,-1.56562500e-01
-1.12266625e-06,-9.18750000e-02
-1.12250625e-06,-1.25156250e-01
-1.12234625e-06,-2.18437500e-01
-1.12218625e-06,-1.76718750e-01
-1.12202625e-06,-8.25000000e-02
-1.12186625e-06,-1.44375000e-01
-1.12170625e-06,-2.20312500e-01
-1.12154625e-06,-1.46718750e-01
-1.12138625e-06,-9.28125000e-02
-1.12122625e-06,-1.30312500e-01
-1.12106625e-06,-1.35468750e-01
-1.12090625e-06,-1.29375000e-01
-1.12074625e-06,-1.25625000e-01
-1.12058625e-06,-7.45312500e-02
-1.12042625e-06,-9.09375000e-02
-1.12026625e-06,-1.84687500e-01
-1.12010625e-06,-1.55625000e-01
-1.11994625e-06,-5.62500000e-02
-1.11978625e-06,-6.79687500e-02
-1.11962625e-06,-8.95312500e-02
-1.11946625e-06,-4.35937500e-02
-1.11930625e-06,-7.59375000e-02
-1.11914625e-06,-1.81875000e-01
-1.11898625e-06,-2.04375000e-01
-1.11882625e-06,-1.39218750e-01
-1.11866625e-06,-9.42187500e-02
-1.11850625e-06,-1.10625000e-01
-1.11834625e-06,-1.28437500e-01
-1.11818625e-06,-9.89062500e-02
-1.11802625e-06,-8.15625000e-02
-1.11786625e-06,-1.11093750e-01
-1.11770625e-06,-1.13437500e-01
-1.11754625e-06,-8.76562500e-02
-1.11738625e-06,-9.04687500e-02
-1.11722625e-06,-8.85937500e-02
-1.11706625e-06,-8.90625000e-02
-1.11690625e-06,-1.46718750e-01
-1.11674625e-06,-1.85625000e-01
