x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Volt
-377.6000E-06,+45.5518836E-03,+1.3021121886E+00,-100.9678009E-03,+1.9918929426E+00
-377.2625E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9933483678E+00
-376.9250E-06,+42.3879157E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-376.5875E-06,+44.6213048E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-376.2500E-06,+37.3627901E-03,+1.1997485161E+00,-100.9678009E-03,+1.9914648763E+00
-375.9125E-06,+40.5267581E-03,+1.1997485161E+00,-102.5497849E-03,+1.9914648763E+00
-375.5750E-06,+37.3627901E-03,+1.1997485161E+00,-100.0372221E-03,+1.9914648763E+00
-375.2375E-06,+41.4573369E-03,+1.1764840451E+00,-98.9205275E-03,+1.9914648763E+00
-374.9000E-06,+41.4573369E-03,+1.0973848436E+00,-102.5497849E-03,+1.9918929426E+00
-374.5625E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9929203016E+00
-374.2250E-06,+42.3879157E-03,+1.1997485161E+00,-103.0150743E-03,+1.9895813848E+00
-373.8875E-06,+45.5518836E-03,+1.1997485161E+00,-102.5497849E-03,+1.9906087438E+00
-373.5500E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9876978933E+00
-373.2125E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9910368101E+00
-372.8750E-06,+42.3879157E-03,+1.1997485161E+00,-103.0150743E-03,+1.9895813848E+00
-372.5375E-06,+46.4824624E-03,+1.1997485161E+00,-102.5497849E-03,+1.9910368101E+00
-372.2000E-06,+44.6213048E-03,+1.1997485161E+00,-100.5025115E-03,+1.9895813848E+00
-371.8625E-06,+37.3627901E-03,+1.1997485161E+00,-100.5025115E-03,+1.9914648763E+00
-371.5250E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9918929426E+00
-371.1875E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9933483678E+00
-370.8500E-06,+40.5267581E-03,+1.1764840451E+00,-102.5497849E-03,+1.9914648763E+00
-370.5125E-06,+37.3627901E-03,+1.0973848436E+00,-100.5025115E-03,+1.9914648763E+00
-370.1750E-06,+41.4573369E-03,+1.2230129871E+00,-101.4330903E-03,+1.9918929426E+00
-369.8375E-06,+41.4573369E-03,+1.3021121886E+00,-104.5970583E-03,+1.9937764341E+00
-369.5000E-06,+41.4573369E-03,+1.1997485161E+00,-100.9678009E-03,+1.9937764341E+00
-369.1625E-06,+41.4573369E-03,+1.1997485161E+00,-103.4803637E-03,+1.9933483678E+00
-368.8250E-06,+41.4573369E-03,+1.1997485161E+00,-104.5970583E-03,+1.9914648763E+00
-368.4875E-06,+41.4573369E-03,+1.2230129871E+00,-100.5025115E-03,+1.9910368101E+00
-368.1500E-06,+41.4573369E-03,+1.3021121886E+00,-100.9678009E-03,+1.9900094511E+00
-367.8125E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9933483678E+00
-367.4750E-06,+41.4573369E-03,+1.1997485161E+00,-103.0150743E-03,+1.9914648763E+00
-367.1375E-06,+40.5267581E-03,+1.1997485161E+00,-103.4803637E-03,+1.9918929426E+00
-366.8000E-06,+37.3627901E-03,+1.1997485161E+00,-104.5970583E-03,+1.9937764341E+00
-366.4625E-06,+41.4573369E-03,+1.1997485161E+00,-101.4330903E-03,+1.9937764341E+00
-366.1250E-06,+41.4573369E-03,+1.1997485161E+00,-104.1317688E-03,+1.9933483678E+00
-365.7875E-06,+41.4573369E-03,+1.1764840451E+00,-98.4552381E-03,+1.9918929426E+00
