Model,MSO68B
Channel,CH2
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,12500
Zero Index,8499.83593750
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-3.620000

Labels,
TIME,CH2
-1.31245375e-06,8.38281250e-01
-1.31229375e-06,8.32812500e-01
-1.31213375e-06,8.28125000e-01
-1.31197375e-06,7.24218750e-01
-1.31181375e-06,6.28125000e-01
-1.31165375e-06,6.10156250e-01
-1.31149375e-06,5.96875000e-01
-1.31133375e-06,5.85937500e-01
-1.31117375e-06,4.78906250e-01
-1.31101375e-06,3.89843750e-01
-1.31085375e-06,4.10156250e-01
-1.31069375e-06,4.14062500e-01
-1.31053375e-06,3.25781250e-01
-1.31037375e-06,2.74218750e-01
-1.31021375e-06,2.75000000e-01
-1.31005375e-06,2.75781250e-01
-1.30989375e-06,3.26562500e-01
-1.30973375e-06,3.34375000e-01
-1.30957375e-06,3.24218750e-01
-1.30941375e-06,2.96875000e-01
-1.30925375e-06,2.68750000e-01
-1.30909375e-06,2.33593750e-01
-1.30893375e-06,2.64843750e-01
-1.30877375e-06,4.22656250e-01
-1.30861375e-06,4.45312500e-01
-1.30845375e-06,3.63281250e-01
-1.30829375e-06,3.05468750e-01
-1.30813375e-06,3.55468750e-01
-1.30797375e-06,4.34375000e-01
-1.30781375e-06,5.59375000e-01
-1.30765375e-06,6.45312500e-01
-1.30749375e-06,6.18750000e-01
-1.30733375e-06,6.38281250e-01
-1.30717375e-06,6.17968750e-01
-1.30701375e-06,5.96875000e-01
-1.30685375e-06,6.52343750e-01
-1.30669375e-06,7.68750000e-01
-1.30653375e-06,8.92968750e-01
-1.30637375e-06,9.47656250e-01
-1.30621375e-06,1.00156250e+00
-1.30605375e-06,1.01953125e+00
-1.30589375e-06,1.04296875e+00
-1.30573375e-06,1.11875000e+00
-1.30557375e-06,1.19453125e+00
-1.30541375e-06,1.17265625e+00
-1.30525375e-06,1.19609375e+00
-1.30509375e-06,1.26875000e+00
-1.30493375e-06,1.24609375e+00
-1.30477375e-06,1.26406250e+00
-1.30461375e-06,1.33281250e+00
-1.30445375e-06,1.39843750e+00
-1.30429375e-06,1.44140625e+00
-1.30413375e-06,1.45234375e+00
-1.30397375e-06,1.42343750e+00
-1.30381375e-06,1.41953125e+00
-1.30365375e-06,1.49218750e+00
-1.30349375e-06,1.49765625e+00
-1.30333375e-06,1.46718750e+00
-1.30317375e-06,1.51953125e+00
-1.30301375e-06,1.55234375e+00
-1.30285375e-06,1.53671875e+00
-1.30269375e-06,1.57343750e+00
-1.30253375e-06,1.61406250e+00
-1.30237375e-06,1.58671875e+00
-1.30221375e-06,1.54375000e+00
-1.30205375e-06,1.54140625e+00
-1.30189375e-06,1.50781250e+00
-1.30173375e-06,1.39921875e+00
-1.30157375e-06,1.26640625e+00
-1.30141375e-06,1.18359375e+00
-1.30125375e-06,1.25937500e+00
-1.30109375e-06,1.39687500e+00
-1.30093375e-06,1.32109375e+00
-1.30077375e-06,1.18046875e+00
-1.30061375e-06,1.14062500e+00
-1.30045375e-06,1.10078125e+00
-1.30029375e-06,1.03437500e+00
-1.30013375e-06,1.00312500e+00
-1.29997375e-06,9.25781250e-01
-1.29981375e-06,8.19531250e-01
-1.29965375e-06,7.93750000e-01
-1.29949375e-06,8.11718750e-01
-1.29933375e-06,8.50781250e-01
-1.29917375e-06,8.32031250e-01
-1.29901375e-06,7.53125000e-01
-1.29885375e-06,6.83593750e-01
-1.29869375e-06,6.76562500e-01
-1.29853375e-06,7.07031250e-01
-1.29837375e-06,6.25781250e-01
-1.29821375e-06,4.89843750e-01
-1.29805375e-06,4.39843750e-01
-1.29789375e-06,4.50000000e-01
-1.29773375e-06,4.55468750e-01
-1.29757375e-06,4.30468750e-01
-1.29741375e-06,3.14843750e-01
-1.29725375e-06,2.86718750e-01
-1.29709375e-06,4.10156250e-01
-1.29693375e-06,4.53906250e-01
-1.29677375e-06,3.57031250e-01
-1.29661375e-06,3.13281250e-01
-1.29645375e-06,3.93750000e-01
-1.29629375e-06,4.50000000e-01
-1.29613375e-06,4.18750000e-01
-1.29597375e-06,3.85937500e-01
-1.29581375e-06,3.75781250e-01
-1.29565375e-06,4.08593750e-01
-1.29549375e-06,4.75000000e-01
