Model,MSO68B
Channel,CH3
Label,
Waveform Type,ANALOG
Digital Type,None
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,13750
Zero Index,6874.58593750
Vertical Units,V
,
ANALOG_Thumbnail,
yOffset,0.000000
yPosition,-4.240000

Labels,
TIME,CH3
-1.03625375e-06,3.28593750e-01
-1.03609375e-06,3.41718750e-01
-1.03593375e-06,3.24843750e-01
-1.03577375e-06,3.03750000e-01
-1.03561375e-06,2.93906250e-01
-1.03545375e-06,2.90625000e-01
-1.03529375e-06,2.90156250e-01
-1.03513375e-06,3.02812500e-01
-1.03497375e-06,3.33281250e-01
-1.03481375e-06,3.51562500e-01
-1.03465375e-06,3.31875000e-01
-1.03449375e-06,2.99062500e-01
-1.03433375e-06,2.82656250e-01
-1.03417375e-06,2.84062500e-01
-1.03401375e-06,2.93906250e-01
-1.03385375e-06,2.91562500e-01
-1.03369375e-06,2.74218750e-01
-1.03353375e-06,2.66718750e-01
-1.03337375e-06,2.84531250e-01
-1.03321375e-06,3.16406250e-01
-1.03305375e-06,3.43593750e-01
-1.03289375e-06,3.52500000e-01
-1.03273375e-06,3.43593750e-01
-1.03257375e-06,3.37968750e-01
-1.03241375e-06,3.43593750e-01
-1.03225375e-06,3.30937500e-01
-1.03209375e-06,2.89218750e-01
-1.03193375e-06,2.67187500e-01
-1.03177375e-06,2.96718750e-01
-1.03161375e-06,3.34687500e-01
-1.03145375e-06,3.40312500e-01
-1.03129375e-06,3.24843750e-01
-1.03113375e-06,3.10312500e-01
-1.03097375e-06,2.99062500e-01
-1.03081375e-06,2.97656250e-01
-1.03065375e-06,3.14531250e-01
-1.03049375e-06,3.34218750e-01
-1.03033375e-06,3.36562500e-01
-1.03017375e-06,3.27656250e-01
-1.03001375e-06,3.24843750e-01
-1.02985375e-06,3.35156250e-01
-1.02969375e-06,3.50156250e-01
-1.02953375e-06,3.50156250e-01
-1.02937375e-06,3.38437500e-01
-1.02921375e-06,3.34218750e-01
-1.02905375e-06,3.33281250e-01
-1.02889375e-06,3.37500000e-01
-1.02873375e-06,3.43593750e-01
-1.02857375e-06,3.31406250e-01
-1.02841375e-06,3.09375000e-01
-1.02825375e-06,3.03281250e-01
-1.02809375e-06,3.06093750e-01
-1.02793375e-06,3.06093750e-01
-1.02777375e-06,3.07500000e-01
-1.02761375e-06,3.04218750e-01
-1.02745375e-06,2.81718750e-01
-1.02729375e-06,2.59218750e-01
