Model,MSO68B
Channel,CH1,,Channel,CH2
Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-10,,Sample Interval,1.60000000e-10
Record Length,13750,,Record Length,13750
Zero Index,7287.21484375,,Zero Index,7287.21484375
Vertical Units,V,,Vertical Units,V
,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000
yPosition,-2.580000,,yPosition,-3.620000

Labels,,
TIME,CH1,CH2
-1.13363437e-06,-6.79218750e-01,-1.42187500e-01
-1.13347437e-06,-6.71312500e-01,-1.52343750e-01
-1.13331437e-06,-6.64125000e-01,-2.54687500e-01
-1.13315437e-06,-6.55500000e-01,-3.02343750e-01
-1.13299438e-06,-6.46156250e-01,-2.99218750e-01
-1.13283437e-06,-6.35375000e-01,-2.96093750e-01
-1.13267437e-06,-6.23156250e-01,-2.98437500e-01
-1.13251437e-06,-6.09500000e-01,-2.67968750e-01
-1.13235437e-06,-5.94406250e-01,-2.35937500e-01
-1.13219437e-06,-5.77875000e-01,-2.28906250e-01
-1.13203437e-06,-5.59906250e-01,-2.44531250e-01
-1.13187438e-06,-5.41218750e-01,-2.60156250e-01
-1.13171437e-06,-5.21812500e-01,-2.71875000e-01
-1.13155437e-06,-5.00250000e-01,-2.89062500e-01
-1.13139437e-06,-4.78687500e-01,-3.89062500e-01
-1.13123437e-06,-4.55687500e-01,-4.16406250e-01
-1.13107437e-06,-4.31968750e-01,-3.50781250e-01
-1.13091437e-06,-4.07531250e-01,-2.96875000e-01
-1.13075438e-06,-3.83093750e-01,-2.96093750e-01
-1.13059437e-06,-3.59375000e-01,-2.87500000e-01
-1.13043437e-06,-3.38531250e-01,-2.46875000e-01
-1.13027437e-06,-3.20562500e-01,-2.71875000e-01
-1.13011437e-06,-3.06906250e-01,-3.60156250e-01
-1.12995437e-06,-2.96843750e-01,-3.38281250e-01
-1.12979437e-06,-2.91093750e-01,-2.52343750e-01
-1.12963438e-06,-2.88937500e-01,-2.47656250e-01
-1.12947437e-06,-2.88937500e-01,-1.89843750e-01
-1.12931437e-06,-2.90375000e-01,-1.27343750e-01
-1.12915437e-06,-2.92531250e-01,-1.42187500e-01
-1.12899437e-06,-2.94687500e-01,-2.12500000e-01
-1.12883437e-06,-2.96125000e-01,-2.31250000e-01
-1.12867437e-06,-2.97562500e-01,-2.14843750e-01
-1.12851438e-06,-2.99000000e-01,-2.18750000e-01
-1.12835437e-06,-3.01156250e-01,-2.86718750e-01
-1.12819437e-06,-3.04031250e-01,-3.84375000e-01
-1.12803437e-06,-3.09062500e-01,-3.76562500e-01
-1.12787437e-06,-3.14812500e-01,-3.42968750e-01
-1.12771437e-06,-3.22718750e-01,-3.22656250e-01
-1.12755437e-06,-3.30625000e-01,-2.96875000e-01
-1.12739438e-06,-3.39968750e-01,-3.00000000e-01
-1.12723437e-06,-3.48593750e-01,-3.44531250e-01
-1.12707437e-06,-3.56500000e-01,-3.56250000e-01
-1.12691437e-06,-3.64406250e-01,-2.85937500e-01
-1.12675437e-06,-3.71593750e-01,-2.60156250e-01
-1.12659437e-06,-3.78781250e-01,-2.40625000e-01
-1.12643437e-06,-3.85250000e-01,-1.75781250e-01
-1.12627438e-06,-3.91718750e-01,-1.75781250e-01
-1.12611437e-06,-3.97468750e-01,-2.32812500e-01
-1.12595437e-06,-4.04656250e-01,-2.10156250e-01
-1.12579437e-06,-4.11843750e-01,-1.84375000e-01
-1.12563437e-06,-4.19750000e-01,-2.44531250e-01
-1.12547437e-06,-4.29093750e-01,-2.81250000e-01
-1.12531437e-06,-4.39156250e-01,-2.21093750e-01
